Results Table 1,,,,
,Width,Thickness,Area,AVE2 gauge length
,(mm),(mm),(mm^2),(mm)
1.0,"10.08","4.20","42.34","10.65"
2.0,"10.18","4.18","42.55","9.76"
3.0,"10.00","4.19","41.90","11.18"
4.0,"10.10","4.24","42.82","10.22"
5.0,"10.04","4.13","41.47","9.93"
6.0,"10.10","4.17","42.12","10.30"
7.0,"10.00","4.10","41.00","10.69"
8.0,"10.10","4.20","42.42","13.47"
9.0,"10.19","4.15","42.29","13.25"
Mean,10.09,4.17,42.10,11.05
Standard deviation,0.06,0.04,0.53,1.30
Coefficient of variation,0.64,0.95,1.27,11.76
